,track_title,artists,popularity,uri,duration,added_by,added_at
1,As It Was,['Harry Styles'],90,spotify:track:4LRPiXqCikLlN15c3yImP7,167303,,2022-11-30T13:47:00Z
2,Heat Waves,['Glass Animals'],83,spotify:track:02MWAaffLxlfxAUY7c5dvx,238805,,2022-11-30T13:47:00Z
3,STAY (with Justin Bieber),"['The Kid LAROI', 'Justin Bieber']",84,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,141805,,2022-11-30T13:47:00Z
4,Me Porto Bonito,"['Bad Bunny', 'Chencho Corleone']",90,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,178567,,2022-11-30T13:47:00Z
5,Tití Me Preguntó,['Bad Bunny'],89,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,243716,,2022-11-30T13:47:00Z
6,Cold Heart - PNAU Remix,"['Elton John', 'Dua Lipa', 'PNAU']",83,spotify:track:6zSpb8dQRaw0M1dK8PBwQz,202735,,2022-11-30T13:47:00Z
7,Enemy (with JID) - from the series Arcane League of Legends,"['Imagine Dragons', 'JID', 'Arcane', 'League of Legends']",81,spotify:track:1r9xUipOqoNwggBpENDsvJ,173381,,2022-11-30T13:47:00Z
8,"Quevedo: Bzrp Music Sessions, Vol. 52","['Bizarrap', 'Quevedo']",91,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,198937,,2022-11-30T13:47:00Z
9,Ojitos Lindos,"['Bad Bunny', 'Bomba Estéreo']",88,spotify:track:3k3NWokhRRkEPhCzPmV8TW,258298,,2022-11-30T13:47:00Z
10,Running Up That Hill (A Deal With God) - 2018 Remaster,['Kate Bush'],76,spotify:track:29d0nY7TzCoi22XBqDQkiP,300840,,2022-11-30T13:47:00Z
11,INDUSTRY BABY (feat. Jack Harlow),"['Lil Nas X', 'Jack Harlow']",81,spotify:track:27NovPIUIRrOZoCHxABJwK,212000,,2022-11-30T13:47:00Z
12,abcdefu,['GAYLE'],82,spotify:track:4fouWK6XVHhzl78KzQ1UjL,168601,,2022-11-30T13:47:00Z
13,Efecto,['Bad Bunny'],88,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,213061,,2022-11-30T13:47:00Z
14,Ghost,['Justin Bieber'],84,spotify:track:6I3mqTwhRpn34SLVafSH7G,153190,,2022-11-30T13:47:00Z
15,Glimpse of Us,['Joji'],85,spotify:track:6xGruZOHLs39ZbVccQTuPZ,233456,,2022-11-30T13:47:00Z
16,Moscow Mule,['Bad Bunny'],85,spotify:track:6Xom58OOXk2SoU711L2IXO,245939,,2022-11-30T13:47:00Z
17,Shivers,['Ed Sheeran'],84,spotify:track:50nfwKoDiSYg8zOCREWAm5,207853,,2022-11-30T13:47:00Z
18,Easy On Me,['Adele'],82,spotify:track:0gplL1WMoJ6iYaPgMCL0gX,224694,,2022-11-30T13:47:00Z
19,MIDDLE OF THE NIGHT,['Elley Duhé'],84,spotify:track:58HvfVOeJY7lUuCqF0m3ly,184447,,2022-11-30T13:47:00Z
20,Woman,['Doja Cat'],84,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,172626,,2022-11-30T13:47:00Z
21,Sweater Weather,['The Neighbourhood'],88,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,240400,,2022-11-30T13:47:00Z
22,Desesperados,"['Rauw Alejandro', 'Chencho Corleone']",80,spotify:track:6mmPpaltUZK7xjNlBPQQ0p,224996,,2022-11-30T13:47:00Z
23,Another Love,['Tom Odell'],90,spotify:track:3JvKfv6T31zO0ini8iNItO,244360,,2022-11-30T13:47:00Z
24,PROVENZA,['KAROL G'],84,spotify:track:7dSZ6zGTQx66c2GF91xCrb,210200,,2022-11-30T13:47:00Z
25,Bam Bam (feat. Ed Sheeran),"['Camila Cabello', 'Ed Sheeran']",79,spotify:track:0QBzMgT7NIeoCYy3sJCof1,206070,,2022-11-30T13:47:00Z
26,First Class,['Jack Harlow'],81,spotify:track:0wHFktze2PHC5jDt3B17DC,173947,,2022-11-30T13:47:00Z
27,Blinding Lights,['The Weeknd'],89,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,200040,,2022-11-30T13:47:00Z
28,MAMIII,"['Becky G', 'KAROL G']",79,spotify:track:1ri9ZUkBJVFUdgwzCnfcYs,226088,,2022-11-30T13:47:00Z
29,Where Are You Now,"['Lost Frequencies', 'Calum Scott']",84,spotify:track:3uUuGVFu1V7jTQL60S1r8z,148197,,2022-11-30T13:47:00Z
30,Bad Habits,['Ed Sheeran'],84,spotify:track:3rmo8F54jFF8OgYsqTxm5d,230746,,2022-11-30T13:47:00Z
31,Pepas,['Farruko'],81,spotify:track:5fwSHlTEWpluwOM0Sxnh5k,287120,,2022-11-30T13:47:00Z
32,good 4 u,['Olivia Rodrigo'],83,spotify:track:4ZtFanR9U6ndgddUvNcjcG,178146,,2022-11-30T13:47:00Z
33,Dandelions,['Ruth B.'],87,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,233720,,2022-11-30T13:47:00Z
34,About Damn Time,['Lizzo'],82,spotify:track:1PckUlxKqWQs3RlWXVBLw3,191822,,2022-11-30T13:47:00Z
35,THATS WHAT I WANT,['Lil Nas X'],81,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,143901,,2022-11-30T13:47:00Z
36,I Ain't Worried,['OneRepublic'],91,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,148485,,2022-11-30T13:47:00Z
37,My Universe,"['Coldplay', 'BTS']",79,spotify:track:46HNZY1i7O6jwTA7Slo2PI,226198,,2022-11-30T13:47:00Z
38,La Bachata,['Manuel Turizo'],93,spotify:track:5ww2BF9slyYgNOk37BlC4u,162637,,2022-11-30T13:47:00Z
39,Una Noche en Medellín,['Cris Mj'],83,spotify:track:1O2pcBJGej0pmH2Y9XZMs6,153750,,2022-11-30T13:47:00Z
40,I Love You So,['The Walters'],85,spotify:track:4SqWKzw0CbA05TGszDgMlc,160239,,2022-11-30T13:47:00Z
41,Infinity,['Jaymes Young'],81,spotify:track:1SOClUWhOi8vHZYMz3GluK,237720,,2022-11-30T13:47:00Z
42,Party,"['Bad Bunny', 'Rauw Alejandro']",82,spotify:track:4tYFy8ALRjIZvnvSLw5lxN,227628,,2022-11-30T13:47:00Z
43,Watermelon Sugar,['Harry Styles'],86,spotify:track:6UelLqGlWMcVH1E5c4H7lY,174000,,2022-11-30T13:47:00Z
44,The Motto,"['Tiësto', 'Ava Max']",82,spotify:track:18asYwWugKjjsihZ0YvRxO,164818,,2022-11-30T13:47:00Z
45,traitor,['Olivia Rodrigo'],83,spotify:track:5CZ40GBx1sQ9agT82CLQCT,229226,,2022-11-30T13:47:00Z
46,Late Night Talking,['Harry Styles'],87,spotify:track:1qEmFfgcLObUfQm0j1W2CK,177954,,2022-11-30T13:47:00Z
47,Until I Found You,['Stephen Sanchez'],84,spotify:track:0T5iIrXA4p5GsubkhuBIKV,177720,,2022-11-30T13:47:00Z
48,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"['Tainy', 'Bad Bunny', 'Julieta Venegas']",80,spotify:track:4gzsuuZypVbxs0Af1LSZyB,207301,,2022-11-30T13:47:00Z
49,Yonaguni,['Bad Bunny'],83,spotify:track:2JPLbjOn0wPCngEot2STUS,206710,,2022-11-30T13:47:00Z
50,Tarot,"['Bad Bunny', 'Jhayco']",82,spotify:track:41oY4WCTj5kccfesTVFnvN,237894,,2022-11-30T13:47:00Z
